
أقفر من أهله ملحوب	فالقطبيات فالذنوب
فراكس فثعيلبات	فذات فرقين فالقليب
فعردة ، فقفا حبر	ليس بها منهم عريب
وبدلت من أهلها وحوشا	وغيرت حالها الخطوب
أرض توارثها الجدوب	فكل من حلها محروب
إما قتيلا وإما هلكا	والشيب شين لمن يشيب
عيناك دمعهما سروب	كأن شأنيهما شعيب
واهية أو معين معن	من هضبة دونها لهوب
أو فلج واد ببطن أرض	للماء من تحتها قسيب
أو جدول في ظلال نخل	للماء من تحتها سكوب
تصبو وأنى لك التصابي ؟	أني وقد راعك المشيب
فإن يكن حال أجمعها	فلا بدي ولا عجيب
أو يك أقفر منها جوها	وعادها المحل والجدوب
فكل ذي نعمة مخلوس	وكل ذي أمل مكذوب
فكل ذي إبل موروث	وكل ذي سلب مسلوب
فكل ذي غيبة يؤوب	وغائب الموت لا يغيب
أعاقر مثل ذات رحم	أو غانم مثل من يخيب
من يسأل الناس يحرموه	وسائل الله لا يخيب
بالله يدرك كل خير	والقول في بعضه تلغيب
والله ليس له شريك	علام ما أخفت القلوب
أفلح بما شئت قد يبلغ بالضع	ف وقد يخدع الأريب
يعظ الناس من لا يعظ الد	دهر ولا ينفع التلبيب
إلا سجيات ما القلو	ب وكم يصيرن شائنا حبيب
ساعد بأرض إن كنت فيها	ولا تقل إنني غريب
قد يوصل النازح النائي وقد	يقطع ذو السهمة القريب
والمرء ما عاش في تكذيب	طول الحياة له تعذيب
يا رب ماء وردت آجن	سبيله خائف جديب
ريش الحمام على أرجائه	للقلب من خوفه وجيب
قطعته غدوة مشيحا	وصاحبي بادن خبوب
غيرانة موجد فقارها	كأن حاركها كثيب
أخلف بازلا سديس	لا خفة هي ولا نيوب
كأنها من حمير غاب	جون بصفحته ندوب
أو شبب يرتعي الرخامي	تلطه شمأل هبوب
فذاك عصر وقد أراني	تحملني نهدة سرحوب
مضبر خلقها تضبيرا	ينشق عن وجهها السبيب
زيتية نائم عروقها	ولين أسرها رطيب
كأنها لقوة طلوب	تيبس في وكرها القلوب
بانت على إرم عذوبا	كأنها شيخة رقوب
فأصبحت في غداة قر	يسقط عن ريشها الضريب
فأبصرت ثعلبا سريعا	ودونه سبسب جديب
فنفضت ريشها وولت	وهي من نهضة قريب
فاشتال وارتاع من حسيس	وفعله يفعل المذؤوب
فنهضت نحوه حثيثا	وحردت حرده تسيب
فدب من خلفها دبيبا	والعين حملاقها مقلوب
فأدركته فطرحته	والصيد من تحتها مكروب
فجدلته فطرحته	فكدحت وجهه الجبوب
فعاودته فرفعته	فأرسلته وهو مكروب
يضغو ومخلبها في دفه	لا بد حيزومه منقوب


